Movie,Year,RunTime,imdb,Genre,votes
Blue Velvet,1986,120 minutes,7.7,"Drama, Mystery, Thriller",185242
La piel que habito,2011,120 minutes,7.6,"Drama, Horror, Thriller",142434
The Last Samurai,2003,154 minutes,7.7,"Action, Drama",407318
This Is England,2006,101 minutes,7.7,"Crime, Drama",117113
Big Hero 6,2014,102 minutes,7.8,"Animation, Action, Adventure",420592
How to Train Your Dragon,2010,98 minutes,8.1,"Animation, Action, Adventure",681323
Coraline,2009,100 minutes,7.7,"Animation, Drama, Family",202982
WALL·E,2008,98 minutes,8.4,"Animation, Adventure, Family",1023241
Twelve Monkeys,1995,129 minutes,8.0,"Mystery, Sci-Fi, Thriller",587627
Blazing Saddles,1974,93 minutes,7.7,"Comedy, Western",128411
The Bourne Identity,2002,119 minutes,7.9,"Action, Mystery, Thriller",517070
3 Idiots,2009,170 minutes,8.4,"Comedy, Drama",358004
Who Framed Roger Rabbit,1988,104 minutes,7.7,"Animation, Adventure, Comedy",185711
Up,2009,96 minutes,8.2,"Animation, Adventure, Comedy",957228
Deliverance,1972,109 minutes,7.7,"Adventure, Drama, Thriller",100752
The Fighter,2010,116 minutes,7.8,"Biography, Drama, Sport",346666
The Lives of Others,2006,137 minutes,8.4,"Drama, Mystery, Thriller",366557
Captain Phillips,2013,134 minutes,7.8,"Adventure, Biography, Crime",429807
Inside Man,2006,129 minutes,7.6,"Crime, Drama, Mystery",348496
Fear and Loathing in Las Vegas,1998,118 minutes,7.6,"Adventure, Comedy, Drama",264454
Hachi: A Dog's Tale,2009,93 minutes,8.1,"Biography, Drama, Family",261140
Arsenic and Old Lace,1943,118 minutes,8.0,"Comedy, Crime, Thriller",66071
Lion,2016,118 minutes,8.0,"Biography, Drama",220559
Star Wars: Episode VI - Return of the Jedi,1983,131 minutes,8.3,"Action, Adventure, Fantasy",969269
Rear Window,1954,112 minutes,8.5,"Mystery, Thriller",453868
The Blues Brothers,1980,133 minutes,7.9,"Action, Adventure, Comedy",186912
Le fabuleux destin d'Amélie Poulain,2001,122 minutes,8.3,"Comedy, Romance",715402
Crash,2004,112 minutes,7.7,"Crime, Drama, Thriller",423695
As Good as It Gets,1997,139 minutes,7.7,"Comedy, Drama, Romance",280882
Remember the Titans,2000,113 minutes,7.8,"Biography, Drama, Sport",201556
Once Upon a Time in the West,1968,165 minutes,8.5,Western,308708
District 9,2009,112 minutes,7.9,"Action, Sci-Fi, Thriller",646118
True Grit,2010,110 minutes,7.6,"Drama, Western",318298
JFK,1991,189 minutes,8.0,"Drama, History, Thriller",145170
Incredibles 2,2018,118 minutes,7.6,"Animation, Action, Adventure",260404
Papillon,1973,151 minutes,8.0,"Biography, Crime, Drama",124096
Capharnaüm,2018,126 minutes,8.4,Drama,70127
Primal Fear,1996,129 minutes,7.7,"Crime, Drama, Mystery",194720
Serenity,2005,119 minutes,7.8,"Action, Adventure, Sci-Fi",286317
Falling Down,1993,113 minutes,7.6,"Action, Crime, Drama",176244
My Fair Lady,1964,170 minutes,7.8,"Drama, Family, Musical",88730
Dark Waters,2019,126 minutes,7.6,"Biography, Drama, History",68711
The Dirty Dozen,1967,150 minutes,7.7,"Action, Adventure, War",68395
The Naked Gun: From the Files of Police Squad!,1988,85 minutes,7.6,"Comedy, Crime",156715
Shichinin no samurai,1954,207 minutes,8.6,"Action, Adventure, Drama",322487
The Great Escape,1963,172 minutes,8.2,"Adventure, Drama, History",229334
The Thin Red Line,1998,170 minutes,7.6,"Drama, War",176240
Der Untergang,2004,156 minutes,8.2,"Biography, Drama, History",337000
The Florida Project,2017,111 minutes,7.6,Drama,99620
The Others,2001,101 minutes,7.6,"Horror, Mystery, Thriller",344536
Boyhood,2014,165 minutes,7.9,Drama,340376
The Fugitive,1993,130 minutes,7.8,"Action, Crime, Drama",273379
Rain Man,1988,133 minutes,8.0,Drama,481873
Before Sunrise,1995,101 minutes,8.1,"Drama, Romance",280259
The Graduate,1967,106 minutes,8.0,"Comedy, Drama, Romance",257485
Citizen Kane,1941,119 minutes,8.3,"Drama, Mystery",413770
Hunt for the Wilderpeople,2016,101 minutes,7.9,"Adventure, Comedy, Drama",116615
Rosemary's Baby,1968,137 minutes,8.0,"Drama, Horror",199077
The Searchers,1956,119 minutes,7.9,"Adventure, Drama, Western",82163
Aladdin,1992,90 minutes,8.0,"Animation, Adventure, Comedy",380560
Ang-ma-reul bo-at-da,2010,144 minutes,7.8,"Action, Crime, Drama",115825
Halloween,1978,91 minutes,7.7,"Horror, Thriller",237632
Batoru rowaiaru,2000,114 minutes,7.6,"Action, Adventure, Drama",171863
Hotaru no haka,1988,89 minutes,8.5,"Animation, Drama, War",244656
Slumdog Millionaire,2008,120 minutes,8.0,"Drama, Romance",809841
Despicable Me,2010,95 minutes,7.6,"Animation, Comedy, Crime",509513
Fa yeung nin wah,2000,98 minutes,8.1,"Drama, Romance",131065
Nuovo Cinema Paradiso,1988,155 minutes,8.5,"Drama, Romance",237831
Magnolia,1999,188 minutes,8.0,Drama,293907
The Machinist,2004,101 minutes,7.7,"Drama, Thriller",364902
Kill Bill: Vol. 2,2004,137 minutes,8.0,"Action, Crime, Thriller",697519
Mononoke-hime,1997,134 minutes,8.4,"Animation, Action, Adventure",354392
Beauty and the Beast,1991,84 minutes,8.0,"Animation, Family, Fantasy",422823
Monty Python and the Holy Grail,1975,91 minutes,8.2,"Adventure, Comedy, Fantasy",508931
The Royal Tenenbaums,2001,110 minutes,7.6,"Comedy, Drama",272241
Straight Outta Compton,2015,147 minutes,7.8,"Biography, Drama, History",184350
The Sting,1973,129 minutes,8.3,"Comedy, Crime, Drama",246304
Moon,2009,97 minutes,7.8,"Drama, Mystery, Sci-Fi",340716
My Cousin Vinny,1992,120 minutes,7.6,"Comedy, Crime",111157
Lawrence of Arabia,1962,228 minutes,8.3,"Adventure, Biography, Drama",273528
Vertigo,1958,128 minutes,8.3,"Mystery, Romance, Thriller",372675
Star Trek Into Darkness,2013,132 minutes,7.7,"Action, Adventure, Sci-Fi",467417
Koe no katachi,2016,130 minutes,8.2,"Animation, Drama, Romance",56126
Wo hu cang long,2000,120 minutes,7.8,"Action, Adventure, Fantasy",257061
The Fault in Our Stars,2014,126 minutes,7.7,"Drama, Romance",350803
The Theory of Everything,2014,123 minutes,7.7,"Biography, Drama, Romance",415418
Some Like It Hot,1959,121 minutes,8.2,"Comedy, Music, Romance",248781
Traffic,2000,147 minutes,7.6,"Crime, Drama, Thriller",198794
The Boondock Saints,1999,108 minutes,7.8,"Action, Crime, Thriller",229817
Misery,1990,107 minutes,7.8,"Drama, Thriller",189598
The Wrestler,2008,109 minutes,7.9,"Drama, Sport",292737
Mad Max 2,1981,96 minutes,7.6,"Action, Adventure, Sci-Fi",169527
Do the Right Thing,1989,120 minutes,8.0,"Comedy, Drama",93085
"Paris, Texas",1984,145 minutes,8.1,Drama,95650
Fantastic Mr. Fox,2009,87 minutes,7.9,"Animation, Adventure, Comedy",207060
Life of Pi,2012,127 minutes,7.9,"Adventure, Drama, Fantasy",591508
It's a Wonderful Life,1946,130 minutes,8.6,"Drama, Family, Fantasy",413835
The Boy in the Striped Pyjamas,2008,94 minutes,7.8,"Drama, History, War",195536
The Lego Movie,2014,100 minutes,7.7,"Animation, Action, Adventure",329253
Das Boot,1981,149 minutes,8.3,"Adventure, Drama, Thriller",236264
A Bronx Tale,1993,121 minutes,7.8,"Crime, Drama, Romance",131083
Gone Baby Gone,2007,114 minutes,7.6,"Crime, Drama, Mystery",255239
The Birds,1963,119 minutes,7.7,"Drama, Horror, Mystery",175159
Mr. Nobody,2009,141 minutes,7.8,"Drama, Fantasy, Romance",220715
Blood Diamond,2006,143 minutes,8.0,"Adventure, Drama, Thriller",509350
Barry Lyndon,1975,185 minutes,8.1,"Adventure, Drama, History",154093
To Kill a Mockingbird,1962,129 minutes,8.3,"Crime, Drama",298472
North by Northwest,1959,136 minutes,8.3,"Adventure, Mystery, Thriller",304938
Gattaca,1997,106 minutes,7.8,"Drama, Sci-Fi, Thriller",285720
Serpico,1973,130 minutes,7.7,"Biography, Crime, Drama",112970
Dangal,2016,161 minutes,8.4,"Action, Biography, Drama",165135
Wreck-It Ralph,2012,101 minutes,7.7,"Animation, Adventure, Comedy",388233
Tumbbad,2018,104 minutes,8.3,"Drama, Fantasy, Horror",32980
Brazil,1985,132 minutes,7.9,"Drama, Sci-Fi",190712
Dark City,1998,100 minutes,7.6,"Fantasy, Mystery, Sci-Fi",190768
Boyz n the Hood,1991,112 minutes,7.8,"Crime, Drama",129377
In Bruges,2008,107 minutes,7.9,"Comedy, Crime, Drama",396681
Cool Hand Luke,1967,127 minutes,8.1,"Crime, Drama",165350
Close Encounters of the Third Kind,1977,138 minutes,7.6,"Drama, Sci-Fi",188511
Chung Hing sam lam,1994,102 minutes,8.1,"Comedy, Crime, Drama",67919
Toy Story 3,2010,103 minutes,8.2,"Animation, Adventure, Comedy",772514
Creed,2015,133 minutes,7.6,"Drama, Sport",253047
Dirty Harry,1971,102 minutes,7.7,"Action, Crime, Thriller",146288
Dawn of the Dead,1978,127 minutes,7.9,"Horror, Thriller",113539
El secreto de sus ojos,2009,129 minutes,8.2,"Drama, Mystery, Romance",197580
Raging Bull,1980,129 minutes,8.2,"Biography, Drama, Sport",328401
The French Connection,1971,104 minutes,7.7,"Action, Crime, Drama",113183
Serbuan maut,2011,101 minutes,7.6,"Action, Thriller",193954
Empire of the Sun,1987,153 minutes,7.7,"Action, Drama, History",118125
This Is Spinal Tap,1984,82 minutes,7.9,"Comedy, Music",131331
When Harry Met Sally...,1989,95 minutes,7.6,"Comedy, Drama, Romance",200618
Groundhog Day,1993,101 minutes,8.0,"Comedy, Fantasy, Romance",587833
The Magnificent Seven,1960,128 minutes,7.7,"Action, Adventure, Western",89342
Just Mercy,2019,137 minutes,7.6,"Biography, Crime, Drama",52423
Gravity,2013,91 minutes,7.7,"Drama, Sci-Fi, Thriller",781166
The King's Speech,2010,118 minutes,8.0,"Biography, Drama, History",649501
Fried Green Tomatoes,1991,130 minutes,7.7,Drama,68727
Bridge of Spies,2015,142 minutes,7.6,"Drama, History, Thriller",293843
The Last Picture Show,1971,118 minutes,8.0,"Drama, Romance",43789
Adaptation.,2002,115 minutes,7.7,"Comedy, Drama",181723
Carlito's Way,1993,144 minutes,7.9,"Crime, Drama, Thriller",205091
Donnie Brasco,1997,127 minutes,7.7,"Biography, Crime, Drama",286155
The Color Purple,1985,154 minutes,7.8,Drama,80488
Die Hard: With a Vengeance,1995,128 minutes,7.6,"Action, Adventure, Thriller",368863
Dog Day Afternoon,1975,125 minutes,8.0,"Biography, Crime, Drama",240262
Searching,2018,102 minutes,7.6,"Drama, Mystery, Thriller",146802
Pâfekuto burû,1997,81 minutes,8.0,"Animation, Crime, Mystery",62162
Awakenings,1990,121 minutes,7.8,"Biography, Drama",129495
Tonari no Totoro,1988,86 minutes,8.2,"Animation, Family, Fantasy",302154
La montaña sagrada,1973,114 minutes,7.9,"Adventure, Drama, Fantasy",38673
Ratsasan,2018,170 minutes,8.5,"Action, Crime, Thriller",31090
Isle of Dogs,2018,101 minutes,7.9,"Animation, Adventure, Comedy",145695
Walk the Line,2005,136 minutes,7.8,"Biography, Drama, Music",237896
Eastern Promises,2007,100 minutes,7.6,"Action, Crime, Drama",231514
Butch Cassidy and the Sundance Kid,1969,110 minutes,8.0,"Biography, Crime, Drama",204506
Kung fu,2004,99 minutes,7.7,"Action, Comedy, Fantasy",129893
The Bourne Supremacy,2004,108 minutes,7.7,"Action, Mystery, Thriller",441148
Män som hatar kvinnor,2009,152 minutes,7.8,"Crime, Drama, Mystery",210852
Midnight Cowboy,1969,113 minutes,7.8,Drama,103160
In the Name of the Father,1993,133 minutes,8.1,"Biography, Crime, Drama",162208
Kôkaku Kidôtai,1995,83 minutes,8.0,"Animation, Action, Crime",132644
Akira,1988,124 minutes,8.0,"Animation, Action, Sci-Fi",169369
Stalker,1979,162 minutes,8.1,"Drama, Sci-Fi",120926
Gangs of Wasseypur,2012,321 minutes,8.2,"Action, Comedy, Crime",86396
Paddington 2,2017,103 minutes,7.8,"Animation, Adventure, Comedy",65368
3:10 to Yuma,2007,122 minutes,7.7,"Action, Crime, Drama",293975
Metropolis,1927,153 minutes,8.3,"Drama, Sci-Fi",163237
Being John Malkovich,1999,113 minutes,7.7,"Comedy, Drama, Fantasy",317860
End of Watch,2012,109 minutes,7.6,"Action, Crime, Drama",232042
Match Point,2005,124 minutes,7.6,"Drama, Romance, Thriller",208933
Enter the Dragon,1973,102 minutes,7.7,"Action, Crime, Drama",98748
Ordinary People,1980,124 minutes,7.7,Drama,48264
Relatos salvajes,2014,122 minutes,8.1,"Comedy, Drama, Thriller",182834
Enemy at the Gates,2001,131 minutes,7.6,"Drama, History, War",247786
Breakfast at Tiffany's,1961,115 minutes,7.6,"Comedy, Drama, Romance",170098
Cabaret,1972,124 minutes,7.8,"Drama, Music, Musical",49331
Toy Story 2,1999,92 minutes,7.9,"Animation, Adventure, Comedy",537538
Glory,1989,122 minutes,7.8,"Biography, Drama, History",125968
Only the Brave,2017,134 minutes,7.6,"Action, Biography, Drama",60964
Sling Blade,1996,135 minutes,8.0,Drama,88522
Philadelphia,1993,125 minutes,7.7,Drama,228631
Lucky Number Slevin,2006,110 minutes,7.7,"Crime, Drama, Thriller",302605
The Iron Giant,1999,86 minutes,8.0,"Animation, Action, Adventure",176259
The Bourne Ultimatum,2007,115 minutes,8.0,"Action, Mystery, Thriller",610787
Patton,1970,172 minutes,7.9,"Biography, Drama, War",95095
Seven Pounds,2008,123 minutes,7.6,Drama,290432
Spartacus,1960,197 minutes,7.9,"Adventure, Biography, Drama",126351
Pather Panchali,1955,125 minutes,8.6,Drama,25822
The Elephant Man,1980,124 minutes,8.1,"Biography, Drama",224946
Night of the Living Dead,1968,96 minutes,7.9,"Horror, Thriller",119136
The Illusionist,2006,110 minutes,7.6,"Drama, Fantasy, Mystery",358694
Life of Brian,1979,94 minutes,8.1,Comedy,374282
The Ten Commandments,1956,220 minutes,7.9,"Adventure, Drama",65897
The Man from Earth,2007,87 minutes,7.9,"Drama, Fantasy, Mystery",177414
Lost Highway,1997,134 minutes,7.6,"Mystery, Thriller",133899
After Hours,1985,97 minutes,7.7,"Comedy, Crime, Drama",62250
Before Sunset,2004,80 minutes,8.1,"Drama, Romance",242707
Per un pugno di dollari,1964,99 minutes,8.0,"Action, Drama, Western",202040
Per qualche dollaro in più,1965,132 minutes,8.2,Western,237759
Låt den rätte komma in,2008,114 minutes,7.9,"Crime, Drama, Fantasy",207911
Ben-Hur,1959,212 minutes,8.1,"Adventure, Drama, History",223515
Sing Street,2016,106 minutes,7.9,"Comedy, Drama, Music",87271
Sunset Blvd.,1950,110 minutes,8.4,"Drama, Film-Noir",206130
The Jungle Book,1967,78 minutes,7.6,"Animation, Adventure, Family",169578
Det sjunde inseglet,1957,96 minutes,8.2,"Drama, Fantasy, History",169745
It Happened One Night,1934,105 minutes,8.1,"Comedy, Romance",96349
The Manchurian Candidate,1962,126 minutes,7.9,"Drama, Thriller",72221
October Sky,1999,108 minutes,7.8,"Biography, Drama, Family",84921
Clerks,1994,92 minutes,7.7,Comedy,213765
Lord of War,2005,122 minutes,7.6,"Action, Crime, Drama",298500
50/50,2011,100 minutes,7.6,"Comedy, Drama, Romance",318831
Evil Dead II,1987,84 minutes,7.7,"Comedy, Horror",150984
Goldfinger,1964,110 minutes,7.7,"Action, Adventure, Thriller",177099
The Nightmare Before Christmas,1993,76 minutes,8.0,"Animation, Family, Fantasy",304817
Star Trek II: The Wrath of Khan,1982,113 minutes,7.7,"Action, Adventure, Sci-Fi",114496
Ed Wood,1994,127 minutes,7.8,"Biography, Comedy, Drama",167138
Roma,2018,135 minutes,7.7,Drama,145093
La haine,1995,98 minutes,8.1,"Crime, Drama",155713
How to Train Your Dragon 2,2014,102 minutes,7.8,"Animation, Action, Adventure",311600
Bonnie and Clyde,1967,111 minutes,7.8,"Action, Biography, Crime",104662
Letters from Iwo Jima,2006,141 minutes,7.9,"Action, Adventure, Drama",155834
Blood Simple,1984,99 minutes,7.6,"Crime, Drama, Thriller",90115
Kelly's Heroes,1970,144 minutes,7.6,"Adventure, Comedy, War",46230
Andhadhun,2018,139 minutes,8.2,"Crime, Drama, Music",77954
Dogville,2003,178 minutes,8.0,"Crime, Drama",140279
Bound by Honor,1993,180 minutes,8.0,"Crime, Drama",29348
The Long Goodbye,1973,112 minutes,7.6,"Comedy, Crime, Drama",27282
The Right Stuff,1983,193 minutes,7.8,"Adventure, Biography, Drama",57099
God's Own Country,2017,104 minutes,7.7,"Drama, Romance",26711
Laura,1944,88 minutes,8.0,"Drama, Film-Noir, Mystery",43617
Gake no ue no Ponyo,2008,101 minutes,7.7,"Animation, Adventure, Comedy",129604
Before Midnight,2013,109 minutes,7.9,"Drama, Romance",145469
Ip Man,2008,106 minutes,8.0,"Action, Biography, Drama",214169
Do lok tin si,1995,99 minutes,7.7,"Comedy, Crime, Drama",29086
Rushmore,1998,93 minutes,7.7,"Comedy, Drama, Romance",173084
Billy Elliot,2000,110 minutes,7.7,"Drama, Music",128667
Pride,2014,119 minutes,7.8,"Biography, Comedy, Drama",53047
The King of Comedy,1982,109 minutes,7.8,"Comedy, Crime, Drama",93428
Cinderella Man,2005,144 minutes,8.0,"Biography, Drama, History",178805
A Streetcar Named Desire,1951,122 minutes,8.0,Drama,100857
Zwartboek,2006,145 minutes,7.7,"Drama, Thriller, War",73677
Hotel Rwanda,2004,121 minutes,8.1,"Biography, Drama, History",339293
Togo,2019,113 minutes,8.0,"Adventure, Biography, Drama",40991
The Fall,2006,117 minutes,7.9,"Adventure, Drama, Fantasy",108450
Finding Neverland,2004,106 minutes,7.7,"Biography, Drama, Family",200633
Seppuku,1962,133 minutes,8.6,"Action, Drama, Mystery",45686
Gandhi,1982,191 minutes,8.0,"Biography, Drama, History",220135
Mississippi Burning,1988,128 minutes,7.8,"Crime, Drama, History",90822
The Maltese Falcon,1941,100 minutes,8.0,"Crime, Film-Noir, Mystery",150981
Der Name der Rose,1986,130 minutes,7.7,"Crime, Drama, Mystery",103784
Ran,1985,162 minutes,8.2,"Action, Drama, War",115929
The Conversation,1974,113 minutes,7.8,"Drama, Mystery, Thriller",101873
M - Eine Stadt sucht einen Mörder,1931,117 minutes,8.3,"Crime, Mystery, Thriller",146897
Naked,1993,132 minutes,7.8,"Comedy, Drama",35841
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87 minutes,8.1,"Animation, Action, Drama",42419
The Bridges of Madison County,1995,135 minutes,7.6,"Drama, Romance",75112
All That Jazz,1979,123 minutes,7.9,"Drama, Music, Musical",28935
Jodaeiye Nader az Simin,2011,123 minutes,8.3,Drama,226090
La migliore offerta,2013,131 minutes,7.8,"Crime, Drama, Mystery",111347
Rebecca,1940,130 minutes,8.1,"Drama, Mystery, Romance",126885
Glengarry Glen Ross,1992,100 minutes,7.7,"Crime, Drama, Mystery",97707
Network,1976,121 minutes,8.1,Drama,148016
Der Himmel über Berlin,1987,128 minutes,8.0,"Drama, Fantasy, Romance",66334
El cuerpo,2012,112 minutes,7.6,"Mystery, Thriller",60129
Charade,1963,113 minutes,7.9,"Comedy, Mystery, Romance",71023
Amores perros,2000,154 minutes,8.1,"Drama, Thriller",227549
Badlands,1973,94 minutes,7.8,"Action, Crime, Drama",67911
All About Eve,1950,138 minutes,8.2,Drama,123005
The Ladykillers,1955,91 minutes,7.7,"Comedy, Crime",27337
The Bridge on the River Kwai,1957,161 minutes,8.1,"Adventure, Drama, War",207287
Drishyam 2,2021,152 minutes,8.7,"Crime, Drama, Thriller",27039
Annie Hall,1977,93 minutes,8.0,"Comedy, Romance",254935
Paths of Glory,1957,88 minutes,8.4,"Drama, War",182783
En man som heter Ove,2015,116 minutes,7.7,"Comedy, Drama, Romance",49430
Solaris,1972,167 minutes,8.1,"Drama, Mystery, Sci-Fi",83193
Shane,1953,118 minutes,7.6,"Drama, Western",37938
Klaus,2019,96 minutes,8.2,"Animation, Adventure, Comedy",113973
Where Eagles Dare,1968,158 minutes,7.6,"Action, Adventure, War",53056
Mommy,2014,139 minutes,8.1,Drama,52457
Serbuan maut 2: Berandal,2014,150 minutes,8.0,"Action, Crime, Thriller",116450
The Remains of the Day,1993,134 minutes,7.8,"Drama, Romance",68350
The Last King of Scotland,2006,123 minutes,7.7,"Biography, Drama, History",178106
Roman Holiday,1953,118 minutes,8.0,"Comedy, Romance",129752
Days of Heaven,1978,94 minutes,7.8,"Drama, Romance",54268
8½,1963,138 minutes,8.0,Drama,111166
Miller's Crossing,1990,115 minutes,7.7,"Crime, Drama, Thriller",127914
Manbiki kazoku,2018,121 minutes,7.9,"Crime, Drama",66966
Dancer in the Dark,2000,140 minutes,8.0,"Crime, Drama, Musical",104235
The Insider,1999,157 minutes,7.8,"Biography, Drama, Thriller",162350
The Apartment,1960,125 minutes,8.3,"Comedy, Drama, Romance",168156
Witness for the Prosecution,1957,116 minutes,8.4,"Crime, Drama, Mystery",112530
Malcolm X,1992,202 minutes,7.7,"Biography, Drama, History",88225
The Artist,2011,100 minutes,7.9,"Comedy, Drama, Romance",233570
Kramer vs. Kramer,1979,105 minutes,7.8,Drama,136574
Kaze no tani no Naushika,1984,117 minutes,8.1,"Animation, Adventure, Fantasy",155706
Majo no takkyûbin,1989,103 minutes,7.9,"Animation, Adventure, Drama",129083
Ying xiong,2002,120 minutes,7.9,"Action, Adventure, History",175626
Madeo,2009,129 minutes,7.8,"Crime, Drama, Mystery",55853
Fiddler on the Roof,1971,181 minutes,8.0,"Drama, Family, Musical",40371
The Man Who Shot Liberty Valance,1962,123 minutes,8.1,"Drama, Western",70727
In the Heat of the Night,1967,110 minutes,7.9,"Crime, Drama, Mystery",69344
Taare Zameen Par,2007,165 minutes,8.4,"Drama, Family",175865
Nosferatu,1922,94 minutes,7.9,"Fantasy, Horror",90290
Rebel Without a Cause,1955,111 minutes,7.7,Drama,85184
Persona,1966,85 minutes,8.1,"Drama, Thriller",107098
On the Waterfront,1954,108 minutes,8.1,"Crime, Drama, Thriller",145025
Ajeossi,2010,119 minutes,7.8,"Action, Crime, Drama",64730
A Little Princess,1995,97 minutes,7.7,"Drama, Family, Fantasy",32768
My Left Foot: The Story of Christy Brown,1989,103 minutes,7.9,"Biography, Drama",69827
The Night of the Hunter,1955,92 minutes,8.0,"Crime, Drama, Film-Noir",83679
21 Grams,2003,124 minutes,7.6,"Crime, Drama, Thriller",227129
Rope,1948,80 minutes,8.0,"Crime, Drama, Mystery",132714
Short Term 12,2013,96 minutes,8.0,Drama,83564
Miracle in Cell No. 7,2019,132 minutes,8.2,Drama,39817
Barton Fink,1991,116 minutes,7.7,"Comedy, Drama, Thriller",115210
Pink Floyd: The Wall,1982,95 minutes,8.0,"Drama, Fantasy, Music",77290
The Quiet Man,1952,129 minutes,7.8,"Comedy, Drama, Romance",35779
Amour,2012,127 minutes,7.9,Drama,94984
The Last Emperor,1987,163 minutes,7.7,"Biography, Drama, History",96697
Papurika,2006,90 minutes,7.7,"Animation, Drama, Fantasy",73990
PK,2014,153 minutes,8.1,"Comedy, Drama, Musical",168194
Zulu,1964,138 minutes,7.7,"Drama, History, War",36824
All the President's Men,1976,138 minutes,8.0,"Biography, Drama, History",105850
Me and Earl and the Dying Girl,2015,105 minutes,7.7,"Comedy, Drama",125510
Chugyeokja,2008,125 minutes,7.8,"Action, Crime, Thriller",60437
Modern Times,1936,87 minutes,8.5,"Comedy, Drama, Family",223612
The Wild Bunch,1969,145 minutes,7.9,"Action, Adventure, Western",78773
Stagecoach,1939,96 minutes,7.9,"Adventure, Drama, Western",44952
Trois couleurs: Rouge,1994,99 minutes,8.1,"Drama, Mystery, Romance",93780
Giant,1956,201 minutes,7.6,"Drama, Western",34920
Belle de jour,1967,100 minutes,7.7,"Drama, Romance",41343
Kaze tachinu,2013,126 minutes,7.8,"Animation, Biography, Drama",76634
The Killing,1956,84 minutes,8.0,"Crime, Drama, Film-Noir",83326
